n.name,n.cancer,n.preeclampsia,n.foldc_cancer,n.foldc_pre,n.regulated_cancer,n.regulated_pre,present_in
Sbsn,0,1,,0.44013277689616,,up,pre
Sars1 Sars,0,1,,0.231417020161945,,up,pre
RT1-CE1 RT1-A2,0,1,,0.495793342590332,,up,pre
Rps9,0,1,,0.344180425008137,,up,pre
Rps6,0,1,,0.303395589192711,,up,pre
Rps25l3 AABR07071294.1 Rps25,0,1,,0.268403053283691,,up,pre
Rps15 Rig,0,1,,-1.80103143056234,,down,pre
Rpl35,0,1,,0.39696947733561,,up,pre
Rpl26,0,1,,0.312461853027344,,up,pre
Rpl19,0,1,,0.301905314127605,,up,pre
Rpl18a,0,1,,0.382694562276203,,up,pre
Rpl13,0,1,,0.22594610850016,,up,pre
Rpl11,0,1,,0.274252891540527,,up,pre
Retsat,0,1,,-0.512580235799156,,down,pre
Rbp1 Rbp-1,0,1,,-0.81562836964925,,down,pre
Ralb Ral-b,0,1,,0.266783396402996,,up,pre
Pygl Lgp,0,1,,0.88057804107666,,up,pre
Pygb,0,1,,0.596373558044434,,up,pre
Ptpn23,0,1,,0.361359278361004,,up,pre
Psgb1,0,1,,0.596274375915527,,up,pre
Psg29 LOC292666,0,1,,0.961692810058594,,up,pre
Psg16 LOC308394,0,1,,0.883140881856285,,up,pre
Prxl2a Fam213a Pamm Shp1,0,1,,-0.826157251993813,,down,pre
Prss8,0,1,,-0.354755401611328,,down,pre
Prrc1,0,1,,0.4319003423055,,up,pre
Prl8a9 Prlpc2,0,1,,0.725882212320961,,up,pre
Prl8a5 Prl8a4,0,1,,0.541423797607422,,up,pre
Prl8a2 Dtprp,0,1,,0.642865498860679,,up,pre
Prl6a1,0,1,,1.20091279347738,,up,pre
Prl4a1,0,1,,0.728912989298504,,up,pre
Prl3d4,0,1,,0.478170077006023,,up,pre
Prkar2a,0,1,,-0.305631637573242,,down,pre
Ppp2r1b,0,1,,0.449621836344402,,up,pre
Ppl,0,1,,-0.536751111348472,,down,pre
Ppid,0,1,,-0.280876795450844,,down,pre
Ppib,0,1,,0.269900957743324,,up,pre
Pon2,0,1,,0.309591611226399,,up,pre
Plvap,0,1,,-0.596940676371258,,down,pre
Pltp,0,1,,0.479641596476235,,up,pre
Pls3,0,1,,-0.495483716328938,,down,pre
Plod1,0,1,,0.317357381184898,,up,pre
Plekha7,0,1,,-0.365144093831379,,down,pre
Plcd1,0,1,,-0.545750300089519,,down,pre
Pitrm1,0,1,,0.424721399943035,,up,pre
Phgdh,0,1,,0.626352945963543,,up,pre
Phactr4,0,1,,-0.493619918823242,,down,pre
Pgm3,0,1,,0.244724909464519,,up,pre
Pgm2,0,1,,0.405833880106606,,up,pre
Pgm1,0,1,,0.227841377258301,,up,pre
Pgk1 Pgk-1,0,1,,0.241229693094891,,up,pre
Pecam1 Pecam,0,1,,-0.673852920532227,,down,pre
Pdlim4 Ril,0,1,,0.656123161315918,,up,pre
Pdia4,0,1,,0.391155242919922,,up,pre
Pdia3,0,1,,0.239742914835613,,up,pre
Pcmt1,0,1,,-0.349007288614906,,down,pre
Pabir2 Fam122b,0,1,,0.844100952148438,,up,pre
P4ha2,0,1,,0.422188123067222,,up,pre
Orm1,0,1,,2.13521099090576,,up,pre
Ocm,0,1,,1.5697447458903,,up,pre
Obsl1,0,1,,0.430661519368492,,up,pre
Nup62cl,0,1,,-0.472537994384766,,down,pre
Nt5c3a Nt5c3,0,1,,0.372714042663574,,up,pre
Npc2,0,1,,0.774168968200684,,up,pre
Nostrin,0,1,,0.491387367248535,,up,pre
Nmes1,0,1,,0.373102188110352,,up,pre
Nln,0,1,,0.308982849121094,,up,pre
Ngp,0,1,,0.482401847839355,,up,pre
Naxd CARKD Carkd,0,1,,0.507649421691895,,up,pre
Nars1 Nars,0,1,,0.336496035257973,,up,pre
Nagk,0,1,,0.532875378926594,,up,pre
Myo18a,0,1,,-0.381493886311851,,down,pre
Mustn1,0,1,,0.923221588134766,,up,pre
Mthfd1l,0,1,,0.517587025960285,,up,pre
Mesd Mesdc2,0,1,,0.241109530131023,,up,pre
Mcam Muc18,0,1,,-0.687485059102379,,down,pre
Matr3,0,1,,-0.299019177754719,,down,pre
Maoa,0,1,,-0.503274917602539,,down,pre
Manf Armet,0,1,,0.397263526916504,,up,pre
Man2a1 Mana2,0,1,,0.335765202840168,,up,pre
Maged2,0,1,,-0.558905919392906,,down,pre
Lzic,0,1,,-0.487570444742836,,down,pre
Lta4h,0,1,,-0.326579729715981,,down,pre
Lrrc59 Rbp34,0,1,,0.262944221496582,,up,pre
Lrpap1,0,1,,0.373658498128254,,up,pre
Loxl2,0,1,,0.883295377095539,,up,pre
LOC102557319,0,1,,0.881230354309082,,up,pre
LOC102557244,0,1,,0.856166839599609,,up,pre
Lman2 rCG_24303,0,1,,0.274321238199871,,up,pre
Lman1 Ergic53,0,1,,0.27641773223877,,up,pre
Lipa,0,1,,-1.19658629099528,,down,pre
Limd1,0,1,,-0.704676946004231,,down,pre
Lima1 eplin,0,1,,-0.313989003499348,,down,pre
Lgalsl,0,1,,-0.365089098612469,,down,pre
Lgals5,0,1,,2.09355640411377,,up,pre
Ldhb Ldh-2 Ldh2,0,1,,-0.494077682495117,,down,pre
Lcp1,0,1,,0.873259544372559,,up,pre
Lamp1 Lamp-1,0,1,,0.304945309956871,,up,pre
Lama5,0,1,,0.359951019287109,,up,pre
Lama1,0,1,,-0.662303606669109,,down,pre
Lad1,0,1,,-0.644825617472328,,down,pre
Krt7,0,1,,0.402186393737793,,up,pre
Krt19 Ka19 Krt1-19,0,1,,0.409868876139321,,up,pre
Klhl22,0,1,,0.628682454427082,,up,pre
Kif2a Kif2,0,1,,0.724155743916832,,up,pre
Kif13b,0,1,,-0.345832824707031,,down,pre
Kdelr2,0,1,,1.42763710021973,,up,pre
Jchain,0,1,,0.940755208333332,,up,pre
Itsn1 Ehsh1 Itsn,0,1,,-0.453583081563316,,down,pre
Itih1 Itih1_predicted rCG_42292,0,1,,-0.509058952331543,,down,pre
Itgav,0,1,,0.336935361226402,,up,pre
Itga6,0,1,,-0.310735384623207,,down,pre
Itga2b,0,1,,-0.484901746114094,,down,pre
Isg15,0,1,,0.666049321492512,,up,pre
Inf2,0,1,,0.229730923970539,,up,pre
Impact,0,1,,-0.300268491109211,,down,pre
Ighm,0,1,,1.21330801645914,,up,pre
Igfbp2 Igfbp-2,0,1,,0.474363009134926,,up,pre
Igf2r,0,1,,-0.410953839619953,,down,pre
Ifnk If1fa,0,1,,1.29682699839274,,up,pre
Idh1,0,1,,-0.325368881225586,,down,pre
Hyou1 rCG_58188,0,1,,0.351110140482586,,up,pre
Htra2,0,1,,-0.381801605224609,,down,pre
Hsph1 Hsp105 Hsp110,0,1,,0.346824963887535,,up,pre
Hspe1,0,1,,0.22215747833252,,up,pre
Hspa5 Grp78,0,1,,0.279795328776039,,up,pre
Hspa12b,0,1,,-0.512465476989746,,down,pre
Hsp90b1 Grp94 Tra1,0,1,,0.389408429463703,,up,pre
Hsd17b11 Dhrs8,0,1,,0.321569760640461,,up,pre
Hp,0,1,,1.12529436747233,,up,pre
Hmox2,0,1,,0.302878061930336,,up,pre
Hmox1,0,1,,0.605992317199707,,up,pre
Hmgb3 LOC100912369 rCG_56793,0,1,,-0.451086044311523,,down,pre
Hm13,0,1,,0.413458824157715,,up,pre
Hk2,0,1,,0.335087458292644,,up,pre
Hibadh,0,1,,-0.402128855387371,,down,pre
Hdhd2 Ier3ip1 RGD1308579,0,1,,0.328354517618813,,up,pre
Hadh Had Hadhsc Schad,0,1,,-0.330688158671062,,down,pre
Gys1,0,1,,0.545757293701172,,up,pre
Gstp1,0,1,,0.90826416015625,,up,pre
Grn,0,1,,1.0616938273112,,up,pre
Got1,0,1,,0.288086255391441,,up,pre
Gne,0,1,,0.406086285909016,,up,pre
Gnb4,0,1,,1.05144182840983,,up,pre
Gmppb,0,1,,0.325736681620278,,up,pre
Glg1,0,1,,0.317036628723145,,up,pre
Gbe1,0,1,,0.537608464558918,,up,pre
Gab1,0,1,,-0.534382184346516,,down,pre
Foxo4,0,1,,0.365559895833336,,up,pre
Fnta,0,1,,0.399670600891113,,up,pre
Fndc3a,0,1,,0.393661181131996,,up,pre
Fkbp5 rCG_60597,0,1,,-0.319450378417969,,down,pre
Fbxw8,0,1,,0.409964561462402,,up,pre
Fbln1,0,1,,0.667681058247886,,up,pre
Fblim1,0,1,,0.283003171284992,,up,pre
Fam136a,0,1,,0.382568677266438,,up,pre
Etfdh ETFDH,0,1,,-0.339080174764,,down,pre
Erp44,0,1,,0.290556907653809,,up,pre
Erp29,0,1,,0.351877212524414,,up,pre
Ero1a Ero1l Giig11,0,1,,0.77391751607259,,up,pre
Eps8l2,0,1,,-0.341313362121582,,down,pre
Epb41l3 Epb4.1l3,0,1,,-0.507342020670571,,down,pre
ENSRNOG00000070933,0,1,,0.923380533854168,,up,pre
Eml4,0,1,,0.302175839742027,,up,pre
Eml2 Emap2,0,1,,-0.320269902547203,,down,pre
Emb Gp70,0,1,,-0.510801315307617,,down,pre
Eif2ak2,0,1,,0.391997337341309,,up,pre
Efhd2 Sws1,0,1,,0.338050842285156,,up,pre
Dpp3,0,1,,0.301531791687012,,up,pre
Dpm1,0,1,,0.376514116923016,,up,pre
Doxl1,0,1,,1.95927715301514,,up,pre
Dnajc3 P58ipk,0,1,,0.50469144185384,,up,pre
Dnajb1 Dnajb1_predicted rCG_51112,0,1,,0.989777247111004,,up,pre
Dera,0,1,,0.792321840922039,,up,pre
Ddah1 Ddah,0,1,,-0.539126396179199,,down,pre
Dbnl Sh3p7,0,1,,-0.311186472574867,,down,pre
Dag1,0,1,,-0.305418332417808,,down,pre
Dad1,0,1,,0.292736371358234,,up,pre
Cyp2s1,0,1,,-0.537218411763508,,down,pre
Cul7,0,1,,0.44118595123291,,up,pre
Cubn,0,1,,1.50084177652995,,up,pre
Ctsr,0,1,,-0.67357349395752,,down,pre
Ctsql2,0,1,,-1.10683250427246,,down,pre
Ctsql1 Ctsq LOC100364523,0,1,,-0.726680437723797,,down,pre
Ctsm,0,1,,0.597711563110352,,up,pre
Ctla2a,0,1,,0.635056813557942,,up,pre
Csrp2,0,1,,-0.456192016601563,,down,pre
Crtap Crtapl1 LOC102555086,0,1,,0.359550158182781,,up,pre
Creld2,0,1,,0.359379132588703,,up,pre
Creg1,0,1,,0.697601000467937,,up,pre
Cpne1,0,1,,0.523804028828938,,up,pre
Cox5b,0,1,,0.35727596282959,,up,pre
Cotl1 Clp,0,1,,-1.92107645670573,,down,pre
Coro1c,0,1,,0.282696406046547,,up,pre
Copz2,0,1,,-0.290265719095867,,down,pre
Comt,0,1,,-0.483963012695313,,down,pre
Colec12 Clp1 Nsr2,0,1,,0.327191352844238,,up,pre
Col1a1,0,1,,-1.20248444875082,,down,pre
Cobll1,0,1,,-0.322589556376141,,down,pre
Cnn3,0,1,,-0.508749961853027,,down,pre
Cmpk2,0,1,,-0.381905873616535,,down,pre
Cmas,0,1,,0.642579714457192,,up,pre
Clip1,0,1,,-0.35033448537191,,down,pre
Ckap4,0,1,,0.353693008422852,,up,pre
Chdh,0,1,,0.417575518290203,,up,pre
Cgm4,0,1,,1.29551792144775,,up,pre
Ces1c Es2,0,1,,0.294137001037598,,up,pre
Ceacam11 LOC292668 rCG_53839,0,1,,1.18623034159343,,up,pre
Cdh1,0,1,,-0.585452079772949,,down,pre
Cda,0,1,,0.586912155151367,,up,pre
Cd5l Fcrl1,0,1,,0.631077130635578,,up,pre
Cd59,0,1,,0.613945325215656,,up,pre
Cd55 Daf1,0,1,,-0.671926180521648,,down,pre
Ccdc51,0,1,,1.60307916005452,,up,pre
Cbr1l1,0,1,,0.527949333190918,,up,pre
Cavin1 Ptrf,0,1,,-0.770298639933266,,down,pre
Cand2,0,1,,0.514812469482422,,up,pre
Camk2d,0,1,,-0.255873362223308,,down,pre
Calr,0,1,,0.279118537902832,,up,pre
C6,0,1,,0.667230288187664,,up,pre
C4bpa,0,1,,0.378341992696129,,up,pre
C4 C4a,0,1,,-0.585405985514324,,down,pre
Btf3 rCG_44623,0,1,,-0.355542818705242,,down,pre
Bhmt,0,1,,-0.626606623331707,,down,pre
Bgn,0,1,,-1.40203634897868,,down,pre
B2m,0,1,,0.575330416361492,,up,pre
Atp2b1,0,1,,-0.386914571126304,,down,pre
Arsb,0,1,,0.463860193888348,,up,pre
Arpp19,0,1,,0.361403147379558,,up,pre
Aqp1 Chip28,0,1,,0.454021135965984,,up,pre
Ankrd13a rCG_21176,0,1,,-0.366556803385418,,down,pre
Ank3,0,1,,-0.69746430714925,,down,pre
Amot,0,1,,-0.501172701517742,,down,pre
Alg5,0,1,,0.396921793619789,,up,pre
Aldoc,0,1,,0.319010734558105,,up,pre
Aldh9a1,0,1,,0.443267504374184,,up,pre
Aldh2 Acad10,0,1,,-0.441715240478516,,down,pre
Ak2 AK2,0,1,,0.287706693013508,,up,pre
Aif1l,0,1,,-0.366202990214031,,down,pre
Agt Serpina8,0,1,,0.296536445617676,,up,pre
Afap1,0,1,,-0.356844902038574,,down,pre
Adk,0,1,,-0.368975003560383,,down,pre
Adh1 Adh-1,0,1,,0.661202748616535,,up,pre
Ada,0,1,,0.936429341634117,,up,pre
Abracl,0,1,,-1.28357855478923,,down,pre
Abhd12,0,1,,0.281883557637531,,up,pre
Abcb1a Abcb1 Abcb4,0,1,,-0.671734809875488,,down,pre
AABR07060872.1,0,1,,0.754191398620605,,up,pre
Slc40a1,0,1,,-0.492350896199543,,down,pre
Gpx3,0,1,,-0.320738792419434,,down,pre
P23764,0,1,,-0.290762583414711,,down,pre
Pdxk,0,1,,0.319708188374836,,up,pre
Rpl34,0,1,,0.400813420613606,,up,pre
Casp6,0,1,,0.559243202209473,,up,pre
Gar1,0,1,,0.58096981048584,,up,pre
Pappa2,0,1,,0.811140378316242,,up,pre
Kng1,0,1,,0.842979749043781,,up,pre
